text,intent,or_city,dst_city,str_date,end_date,budget
please find a flight from beijing to kochi for me. sept 16 to 20,BookFlight,Beijing,Kochi,Sept 16,20,
"i need to book a business trip for 4 potential large clients and i, leaving from philadelphia",BookFlight,Philadelphia,,,,
i don't care what you've been programmed to call yourself. just get me from london to cairo.,BookFlight,London,Cairo,,,
"my wife and i just had our second baby and would like to take a vacation with our 2 children. we are looking for a child-friendly resort, preferably in queenstown.",BookFlight,,Queenstown,,,
i need a vacation. a real vacation. my boss finally allowed me to take time off between september 8 and september 14. the heat in valencia has been awful this summer.,BookFlight,Valencia,,September 8,September 14,
get me from buenos aires to the nicest hotel in punta cana. and i mean asap!!!!,BookFlight,Buenos Aires,Punta Cana,,,
"hello, there!",BookFlight,,,,,
suspend my plans,Cancel,,,,,
get me out of berlin,BookFlight,berlin,,,,
need to go to vancouver,BookFlight,,Vancouver,,,
i'd like to go to washington.,BookFlight,,Washington,,,
you got a san juan to rome flight on sept 2?,BookFlight,San Juan,Rome,Sept 2,,
my friends and i are going away on our first trip alone ever and i am in charge of finding us a deal!,BookFlight,,,,,
i have got some time off work for the first time in freakin years and i need a vacation. screw the budget i wanna go to nagoya from september 8 until the 29,BookFlight,,nagoya,september 8,29,
i sure do. this will be my first time travelling by myself so i am nervous. i really need you to help me find the right package.,BookFlight,,,,,
"denver, here i come! i need you to help me book a trip. it's the most important trip of my life!",BookFlight,,Denver,,,
"hey so i need 2 get my parents out of town. where can u ship em between septemeber 2 and 13th for 3500 dollars?
leaving from montreal ",BookFlight,montreal,,septemeber 2,13th,3500 dollars
"hi, i want to take my kids on a wonderful vacation, can you help me find something that my wife and i will approve on.",BookFlight,,,,,
"hi there, what is the best hotel in toronto?",BookFlight,,Toronto,,,
hi! i have 2 possible big golf tournaments coming up and i want to see which one has the best package. let's take a look at chicago first.,BookFlight,,Chicago,,,
"hi, i live in diagon alley and we need to go to las vegas in august for a graffiti convention its gonna be so chill cant wait",BookFlight,Diagon Alley,Las Vegas,August,,
i would like to find a vacation between september 20th and october 4th from sao paulo to leon,BookFlight,Sao Paulo,Leon,september 20th,October 4th,
"i need your help, gotta do some serious trip research for the wife s our travel dates are between sepember 1-18. we live in monterrey. its for me, my wife and 5 kids. any other info you need?",BookFlight,Monterrey,,sepember 1,18,
"i'm in ciudad juarez and i have to transport a little ""package"" with me across the border. it has to be done between september 8 and the 28th. we are going to make this a family trip, like in that movie we are the millers. lol.",BookFlight,Ciudad Juarez,,September 8,28th,
hello ,BookFlight,,,,,
"hi. i have to book my honeymoon … but i’m getting married in fukuoka a week from today!!
can you book something for two adults? we aren’t going far, just hiroshami
",BookFlight,Fukuoka,Hiroshami,a week from today,,
yo dude.,BookFlight,,,,,
um get me to kochi,BookFlight,,Kochi,,,
"hi there. i need exact dates for this one, no flexibility
frankfurt to punta cana
sept 11-15
you got that?",BookFlight,Frankfurt,Punta Cana,Sept 11,15,
vacay time woooohooooooo,BookFlight,,,,,
hi i am planning my honeymoon for my wife and myself. i am looking for the best deal but it needs to be the best time! can you helo us?,BookFlight,,,,,
"i'm planning a 5 day vacation, but i haven't given too much thoughts to it. can you give me some suggestions fit for my budget? i hope to spend 4600 max.",BookFlight,,,,,4600
get me a flight from barcelona to calgary leave september 2,BookFlight,BARCELONA,CALGARY,SEPTEMBER 2,,
i wanna go to san juan,BookFlight,,San Juan,,,
do you do flights out of punta cana?,BookFlight,Punta Cana,,,,
heyo,BookFlight,,,,,
hi i wanna look into packages to san antonio,BookFlight,,san antonio,,,
hey yea so i need to get 5 adults and 1 child out of osaka between september 24 to the 27th or 28th,BookFlight,osaka,,september 24,27th or 28th,
looking to go from san francisco to marseille. book me for september 18 to 22. let me know if its more than 2800 because thats all i can afford,BookFlight,San Francisco,MArseille,September 18,22,2800
get me from mexicoh city to birmingham,BookFlight,mexicoh city,birmingham,,,
hey!,BookFlight,,,,,
"hi i need a break from gotham city, the crime rate is just too high. i'd like to go to hogsmead with 3 kids and 9 adults.",BookFlight,Gotham City,Hogsmead,,,
"well, this is it. time for me to go to queenstown!",BookFlight,,Queenstown,,,
i wanna get to sendai with my posse from santo domingo,BookFlight,santo domingo,sendai,,,
hi! i'm looking to book a trip somewhere between august 19th and september 3rd. my budget is 1700.,BookFlight,,,August 19th,September 3rd,1700
"hey there. i just want you to entertain me
i can't take any trips right now..
but if i could would i be able to get to belem for under $3900?
i'm in los angeles",BookFlight,Los Angeles,Belem,,,under $3900
i want ot travel to melbourne. i will leave from kyoto,BookFlight,kyoto,melbourne,,,
hey! i'm in the hunt for a trip to sapporo.,BookFlight,,Sapporo,,,
i have 2500 to spend,BookFlight,,,,,2500
"hello, i am planning to book a trip to pittsborgh",BookFlight,,pittsborgh,,,
"good day, i'm located in kobe and i have been offered a possible internship in baltimore at the heart of the action! i need you to book a flight and hotel package for me sometime between august 26 and september 10.",BookFlight,Kobe,Baltimore,August 26,September 10,
i must get away from the paparazzi. what packages can you offer to hiroshima?,BookFlight,,Hiroshima,,,
ever been to queenstown? can you tell me what it is like?,BookFlight,,Queenstown,,,
i am leaving from beijing and want to go to curitiba,BookFlight,Beijing,Curitiba,,,
goinggg on spring breakk need to make it sweet!,BookFlight,,,,,
going to movies,None,,,,,
i wanna see tokyo maybe. i wanna check out the city for a week starting august 24,BookFlight,,tokyo,august 24,,
hi hi hi,BookFlight,,,,,
melbourne to fukuoka august 24 to august 27,BookFlight,melbourne,fukuoka,august 24,august 27,
"hello, i'd like to book a trip to mos eisley from hogsmeade on august 13.",BookFlight,Hogsmeade,Mos Eisley,August 13,,
"i want to find a vacay between sept.12 and 19 for under 5500, leaving from mannheim",BookFlight,Mannheim,,sept.12,19,5500
"hey, i can use your help researching for a short vacation.",BookFlight,,,,,
"hi there, i'm looking for a place to get away with my best friend. do you think you can give an amazing package?",BookFlight,,,,,
"haaaaaaaaayyyy. i’m just a normal girl, just like everybody else, i just wanna go to monterrey ok??",BookFlight,,Monterrey,,,
"you can help get myself, my lawyer bruce, and my girls tanya and robin to rome",BookFlight,,Rome,,,
"hello, i need your help...my wife is super strict and she's put me in charge of the family vacation. we have $4000 to spend. find me something good!",BookFlight,,,,,$4000
"boy oh boy! i got these 3 clients and these guys gotta have the best of the best, don't ask me why! so what do you have in dublin that will impress the fellas?",BookFlight,,Dublin,,,
i’d like to go from ulsan to indianapolis soon but keep it under 5700 please,BookFlight,Ulsan,Indianapolis,,,5700
i wanna lay low so i need to get out of tijuana. i think i’d like to go to rome,BookFlight,tijuana,rome,,,
"hi, my name is harry potter and i'd like to go to hogsmeade leaving from kakariko village on saturday, august 13th for 3 nights with 11 friends.",BookFlight,Kakariko Village,Hogsmeade,"Saturday, August 13th",,
my best friend paris hilton and i want to go all out for my birthday this year so you must find me the hippest place in hiroshima okay?,BookFlight,,Hiroshima,,,
"5 adults to cordoba from goiania, no budget, just luxury",BookFlight,Goiania,Cordoba,,,
i have 14 days vacation,BookFlight,,,,,
what hotels do you have in vancouver?,BookFlight,,Vancouver,,,
hello i am looking to bring my 6 kids and i to portland and leave from minneapolis. we can travel whenever and have no budgetary constraints.,BookFlight,Minneapolis,Portland,,,
i'd like to find a vacation between tomorrow and september 14th from santos to leon,BookFlight,Santos,Leon,tomorrow,September 14th,
"pokemon hunter extraordinaire here. get me and my fellow trainer to phili from recife!!!
we can leave next tuesday",BookFlight,Recife,Phili,next tuesday,,
i want to go to queenstown for 6 days,BookFlight,,queenstown,,,
"i am the happy father of 5 darling children and my wife wants me to plan our family vacation! she needs to approve before i make a final decision, i'm quite whipped!",BookFlight,,,,,
"hello, i would like to book a 2-week trip leaving from melbourne on august 27. i would like to go to mannheim.",BookFlight,Melbourne,Mannheim,August 27,,
hi! i need a vacation. not sure where i wanna go… but i’ve got 8 days off starting august 30th,BookFlight,,,August 30th,,
i wana go 2 boston from hiroshima,BookFlight,hiroshima,boston,,,
"hi , looking for a business class package to philadelphia, leaving ciudad juarez, after august 31st",BookFlight,Ciudad Juarez,Philadelphia,August 31st,,
beijing to tijuana sept 6-sept 9,BookFlight,Beijing,Tijuana,Sept 6,Sept 9,
"hi there, i'd like to book a trip from boston please.",BookFlight,Boston,,,,
i'm exhausted and i need to get away. i want to treat myself to a five day trip.,BookFlight,,,,,
i want to look at trips from san jose to dublin for 3500 and under.,BookFlight,San Jose,Dublin,,,3500
"hello, get me to frankfurt. leaving punta cana.",BookFlight,Punta Cana,Frankfurt,,,
kyoto to boston,BookFlight,kyoto,boston,,,
so i need to get from milan to ulsan. sept 6 to 11,BookFlight,Milan,Ulsan,sept 6,11,
melbourne please,BookFlight,,Melbourne,,,
"i need to go from kabul to toronto, would you happen to have any flights for me?",BookFlight,Kabul,Toronto,,,
i got married in puebla this past tuesday,BookFlight,Puebla,,,,
i absolutely positively must get my parents out of salvador as long as possible between september 17 and october 8!:persevere:,BookFlight,Salvador,,September 17,October 8,
i need to go to buenos aires.,BookFlight,,Buenos Aires,,,
i want to go on a 4 day trip,BookFlight,,,,,
i'm a polygamist and i'd like to travel with my 6 partners and 1 child to san juan from pittsburgh on a budget of 6600 usd,BookFlight,Pittsburgh,San Juan,,,6600 USD
"i need to get away from work, how about paris?",BookFlight,,Paris,,,
"hey there, i’m looking to check out a few destinations to see if they’ll be appropriate for me to accept an internship in. i want to travel from august 27-30, just enough to get a taste of each location.
i am leaving from monterrey and i would like to spend 5200 at most, as my internship is unpaid.
is there anything available to kobe for these dates and price?",BookFlight,Monterrey,Kobe,August 27,30,5200
i wanna find a vacation between yesterday and the 24th for under 3200 and leaving from tijuana,BookFlight,Tijuana,,yesterday,24th,3200
i want to find a vacation between september 12th and 18th to san diego from calgary for under 1800.,BookFlight,Calgary,San Diego,September 12th,18th,1800
Book a restaurant,None,,,,,
yes. i am going 2 bring my grand daughter with me......,BookFlight,,,,,
"need to book a luxury getaway for myself and 7 clients. leaving from vancouver after september 14th
what've you got availble in naples?",BookFlight,Vancouver,Naples,September 14th,,
i want to go to vitoria. from tijuana,BookFlight,Tijuana,Vitoria,,,
"hello hello i am travelling with my 9 sisters and my child to our family reunion in corsucant next month! we will spend 1800 max, what can you do?",BookFlight,,Corsucant,next month,,1800
i want to book a trip to valencia!,BookFlight,,Valencia,,,
"good afternoon to you, i have 4 days off coming up and i need a little getaway.",BookFlight,,,,,
"hi, i'm looking for a trip  from thursday, august 18, 2016 to thursday, september 8, 2016 to mexico city",BookFlight,,Mexico City,"Thursday, August 18, 2016","Thursday, September 8, 2016",
hi there i'm looking for a trip for me and my assistant.,BookFlight,,,,,
hello hello :slightly_smiling_face: looking to take the family somewhere nice next month. have 12400 on hand. how much would it cost to take five children and two adults from london to belem? for around two weeks,BookFlight,London,Belem,,,12400
"good afternoon, i'd like to book a trip with my son from august 18 to august 29. he and i would be leaving from curitiba. what destinations can you offer?",BookFlight,Curitiba,,August 18,August 29,
hey! i'm looking to book a trip to naples,BookFlight,,Naples,,,
two business class tickets from birmingham to montreal asap,BookFlight,Birmingham,Montreal,ASAP,,
hi there hello,BookFlight,,,,,
hi. i live in busan and i'd like to go to las vegas from wednesday august 17 to monday september 5. what's available?,BookFlight,Busan,Las Vegas,Wednesday August 17,Monday September 5,
i'm looking to go on a trip but i'm not sure where. can i get information for a trip from toluca to paris from august 25th to september 9th?,BookFlight,Toluca,Paris,August 25th,September 9th,
san jose to porto alegre please. oh it needs to be between sept 18 to 22,BookFlight,San Jose,Porto Alegre,sept 18,22,
"hello, i represent a group of people who want to get out of munich. our group comprises 4 adults and 6 children",BookFlight,Munich,,,,
we are 3 adults and three kids looking for a vacation between august 18 and september 4,BookFlight,,,August 18,September 4,
1 ticket from san francisco to vitoria please!,BookFlight,San Francisco,Vitoria,,,
i want to go to paris from maceio with 6200$.,BookFlight,Maceio,Paris,,,6200$
seoul to long beach. 4 kids 6 adults. 35400 budget,BookFlight,Seoul,Long Beach,,,35400
"i've got a group of 5 and we're looking to go to fortaleza leaving this weekend, sep 3 maybe",BookFlight,,Fortaleza,Sep 3,,
i have $3300 and i’d like to take my 6 darling little grandchildren on a cute little getaway to salvador from minneapolis.,BookFlight,Minneapolis,Salvador,,,$3300
hey there i'm looking for a trip from st. louis to kabul.,BookFlight,St. Louis,Kabul,,,
hi so i need to go to leon i will leave atlanta and i will travel between september 13th and 25th got it???,BookFlight,ATLANTA,LEON,SEPTEMBER 13TH,25TH,
i want to take a trip from diagon alley to naples.,BookFlight,Diagon Alley,Naples,,,
hello! i want to book a trip for two adults and two children from august 25th to august 31st. we have several destinations in mind. do you have any packages for manaus?,BookFlight,,Manaus,August 25th,August 31st,
i need your help to book my family a trip from kabul to seoul. what's the cheapest you've got?,BookFlight,Kabul,Seoul,,,cheapest
"is it normal that i feel this nervous that i'm about to get married today? i never liked the in-laws, and i can't wait to get away from them on my honeymoon
oh right, thats what i need you for
can you book me a honeymoon to ulsan? 2 adults (duh), departing after today, and for 15 days
i'm in essen",BookFlight,Essen,Ulsan,after today,,
"hi there
im thinking of going to san juan soon. between aug 27 and sep 15",BookFlight,,san juan,aug 27,sep 15,
"hi there. i’m here to book a trip for my family!
its just me, my wife, and my son",BookFlight,,,,,
i wanna leave tel aviv & go 2 vitoria with 11 adults and we will spend 2000 at most,BookFlight,Tel Aviv,Vitoria,,,2000
hey! so i'm in charge of planning the next vacay for my wife and me plus our seven munchkins.,BookFlight,,,,,
hello! i need to go to minneapolis please.,BookFlight,,Minneapolis,,,
"hi there. berlin to atlanta please
sometime between september 8 and 25",BookFlight,berlin,atlanta,september 8,25,
can you help me book a flight? this is my first time using this service,BookFlight,,,,,
"i need to find a vacation between the 12 of september and 2nd of october for under 6500, leaving from sydney.",BookFlight,Sydney,,12 of september,2nd of October,6500
hi im from philadelphia,BookFlight,Philadelphia,,,,
do you have flights out of tel aviv??,BookFlight,tel aviv,,,,
hi! i'd really like to try and book a trip for me and 3 of my friends for spring break.  i have a budget of $2100.,BookFlight,,,,,$2100
i need to get to porto and leave santo domingo,BookFlight,Santo Domingo,Porto,,,
jerusalem to belem 2 adults 4000 dollar budget. leave on september third,BookFlight,Jerusalem,Belem,September third,,4000
heyo!,BookFlight,,,,,
"i need out of this tacky country :unamused:
maybe kyoto? i just finished performing in san antonio and i want out of here",BookFlight,san antonio,Kyoto,,,
i want you to recommend me a package in rome that leaves from las vegas. i have a travel window between 20 and 26 september,BookFlight,las vegas,rome,20,26 september,
i'd like to go to manaus from miami between august 19th and september 2nd.,BookFlight,Miami,Manaus,August 19th,September 2nd,
hey! i need to get out of jerusalem by sep 2 for a while. any options for queenstown?,BookFlight,Jerusalem,Queenstown,Sep 2,,
yo,BookFlight,,,,,
"hey, i'm looking for a trip from tokyo to atlanta.",BookFlight,Tokyo,Atlanta,,,
"goiania to marseille, i need a flight for 14 adults for 2300 total. this is very important, do you understand?",BookFlight,Goiania,Marseille,,,2300
recife to pittsburgh for 4 adults. only 5 star hotels,BookFlight,Recife,Pittsburgh,,,
scrap reservations,Cancel,,,,,
"hello, book me a trip from san antonio to phoenix leaving september 9th and returning september 11th please.",BookFlight,San Antonio,Phoenix,September 9th,September 11th,
"hi my friend i am going to take a vacation. but i want to go many places
i am unsure where i shall go
i will leave from vancouver
can you tell me about athens? what is available there?",BookFlight,vancouver,Athens,,,
"hi, can you please tell me how much would it cost to for two adults and a child to go from seoul to naples for five days?",BookFlight,Seoul,Naples,,,
"i would like you to find me, my wife, and my 4 children, a trip to guadalajara from seattle.",BookFlight,Seattle,Guadalajara,,,
hey i need to get home asap!!! please get me to sapporo,BookFlight,,Sapporo,asap,,
"want to travel with me and my wife and my young child from birmingham to curitiba. 15 days, $4000 to spend. you think you can make it happen?",BookFlight,Birmingham,Curitiba,,,$4000
"hi, i'm looking for a vacation package to chicago from brasilia.",BookFlight,Brasilia,Chicago,,,
hi im looking to go on a trip to baltimore,BookFlight,,baltimore,,,
my friends and i would like to go belo horizonte please.,BookFlight,,Belo Horizonte,,,
exit,Cancel,,,,,
omg. i am late at work dreaming about a trip. i love to dream real john lennon fan here send me to milan i guess i am getting the heck out of brasilia,BookFlight,BRASILIA,MILAN,,,
"hey, i want to get myself to porto alegre from toronto for less than $3900",BookFlight,Toronto,Porto Alegre,,,$3900
"hi, do you have flights out of tel aviv?",BookFlight,Tel Aviv,,,,
i need to book a flight to find my last pokemon. i would need to leave from montreal and go to hiroshima. i will also need to leave on august 19th. im with 4 other adults as well.,BookFlight,Montreal,Hiroshima,August 19th,,
"hey, i need to take two of my clients for a few days on a business trip. we have to leave aug 29",BookFlight,,,Aug 29,,
i need to find something between september 8th and 27th for under 4300 from frankfurt,BookFlight,frankfurt,,september 8th,27th,4300
"hello! i'm booking for a honeymoon right after our wedding in monterrey.
we can leave any day after september 6.",BookFlight,Monterrey,,after September 6,,
i want to go on a vacation from munich.,BookFlight,Munich,,,,
hi there! i finally have some vacation time starting on august 22nd and i am hoping to go away somewhere really far away and getting away from it all. do you have any suggestions for me?,BookFlight,,,August 22nd,,
the big boss approved sept 12-28,BookFlight,,,Sept 12,28,
i want to go to kabul from baltimore,BookFlight,Baltimore,Kabul,,,
"i'm traveling alone, from minneapolis to ciudad juarez. sept 2 to sept 22. do you have any flights that fit?",BookFlight,Minneapolis,Ciudad Juarez,Sept 2,Sept 22,
i have to get home and to be honest with you i'm kinds happy cause i'm sick of carrying around this 50lb backpack!,BookFlight,,,,,
my team and i need to get to san diego. need to leave by sept 6. it is a matter of life and death!,BookFlight,,San Diego,Sept 6,,
"ok! so i am planning a trip with my 6 best friends. we want to go from guadalajara to somewhere else
first on our list is cairo. could you get us there?",BookFlight,Guadalajara,Cairo,,,
"what good is money if i can't spend it??? i have 5600 saved up, can't actually travel, but want to see where i could go if maybe things were different and i had time off work. like for example
would i be able to go from ulsan to washington?",BookFlight,Ulsan,Washington,,,5600
hello. lima please,BookFlight,,lima,,,
hi. i want to go to tofino from burlington. please recommend me packages from sunday 21 to august 24 for 2200 for 7 adults.,BookFlight,Burlington,Tofino,Sunday 21,August 24,2200
7 business class flights to mexico city,BookFlight,,Mexico City,,,
goiania to montreal on sept 10 to 11th only,BookFlight,Goiania,Montreal,Sept 10,11th,
me and my incredibly fun friends wanna get to phoenix from our homes in hiroshima for 12800,BookFlight,Hiroshima,phoenix,,,12800
get me a trip to curitiba next tuesday,BookFlight,,Curitiba,next Tuesday,,
please help! i need to get mommy and daddy out of town between sep 2 and 19,BookFlight,,,Sep 2,19,
Can you book a hotel?,None,,,,,
let me get from detoit to kobe,BookFlight,Detoit,Kobe,,,
"hi. i need to do some travelling soon
i want to go to munich maybe",BookFlight,,Munich,,,
hi! i'm well. i'm looking at this website. its got this picture of a pastry. i've never seen anything like it and i need to go see it for myself,BookFlight,,,,,
book me from colorado to athens,BookFlight,COLORADO,athens,,,
i'm looking to go to ulsan from santiago for 12 days. leaving on august 27th. this is for two people. do you have anything for me?,BookFlight,santiago,ulsan,august 27th,,
"salvador to recife, sept 1 for 1, $1000 budget. i want the best hotel in recife",BookFlight,Salvador,Recife,Sept 1,,$1000
can you help me book a trip to mexico city? we'll be 4 adults and 6 kids from long baech.,BookFlight,Long Baech,Mexico City,,,
"brasilia to kyoto, sept 4. $4000 budget goooo",BookFlight,BRASILIA,KYOTO,SEPT 4,,$4000
i want to take my five friends with me from san diego to frankfurt for my birthday bash,BookFlight,San Diego,Frankfurt,,,
are there 5 star hotels in kyoto?,BookFlight,,Kyoto,,,
"hi there! so, between september 7 and 27 i would like to see what is available from curitiba to mexico city",BookFlight,Curitiba,Mexico City,September 7,27,
nyc to st. louis,BookFlight,NYC,St. Louis,,,
"hey, so even though the year is 2025 i need to book a trip for august 26, 2016 to calgary...",BookFlight,,calgary,"august 26, 2016",,
hello - need to fly out to queenstown soon,BookFlight,,Queenstown,,,
i need to go on a secret vacation so you're gonna need to keep this information on the down low.,BookFlight,,,,,
"hi, i need some help booking a very important trip.",BookFlight,,,,,
"the police are after me, and i need to leave kobe between august 27 and september 2.",BookFlight,Kobe,,August 27,September 2,
"greetings, my name is harold. my grandson told me that i can book a flight by talking to a robot over the world wide web - i could hardly believe my ears! back in my day, you had to saunter over to the local travel agency and wait in line to talk to an agent.",BookFlight,,,,,
"hi there, i'm looking for a trip for 5 between tofino and dallas. it needs to be between aug 25 and aug 28.",BookFlight,Tofino,Dallas,Aug 25,Aug 28,
i need to know how much it costs to go from ciudad juarez to la paz leaving august 22 to september 8,BookFlight,ciudad juarez,la paz,august 22,september 8,
biebs here. i wanna book a vacation asap.,BookFlight,,,,,
hello! i’m looking to get my parents on a nice anniversary trip,BookFlight,,,,,
"im married now boi. takin my new spouse 2 mexico city
10 days
lets keep it 1500 max
cool?
leaving from detroit
do your thang",BookFlight,detroit,mexico city,,,1500
book us a hotel in Budapest on november 30 2023,None,,,,,
"hello hello :slightly_smiling_face: i'm planning a honeymoon, and i want to go to kabul from toronto
do you have anything for me leaving on august 28th?
13 days if possible
got $3300 to spend",BookFlight,Toronto,Kabul,August 28th,,$3300
"ok i would like to go to melbourne from santiago actually it can be any city
but on one condition: i want to travel for free
my guru told me that i could make anything happen if i dreamed hard enough and focused on making it a reality
so my dream is to travel for free and you will help make it happen",BookFlight,Melbourne,,,,travel for free
hello there,BookFlight,,,,,
i want to go to san antonio from tijuana for 7 days,BookFlight,tijuana,san antonio,,,
beijing to hiroshima please,BookFlight,Beijing,Hiroshima,,,
get me and a friend onto a flight to porto!,BookFlight,,Porto,,,
"h, i need to go to kyoto pronto!",BookFlight,,Kyoto,,,
"hello i am currently in tel aviv on business and would like to get to houston next saturday, august 27th.",BookFlight,Tel Aviv,Houston,"Saturday, August 27th",,
discontinue,Cancel,,,,,
"we are a large family wanting to travel together to fortaleza, what can you do for us?",BookFlight,,Fortaleza,,,
"hello! i would like to book a classic marseille getaway
would be leaving from birmingham city",BookFlight,Birmingham City,Marseille,,,
hello :slightly_smiling_face:,BookFlight,,,,,
hey what's available from mtl to mexico city?,BookFlight,mtl,mexico city,,,
yes hi! i live in santos and i want to book a holiday of up to 16 days. do you have any trips i can take that fit within a budget of 0$?,BookFlight,Santos,,,,0$
i want to go to cancun from dallas,BookFlight,Dallas,Cancun,,,
hello! i recently won the internship lottery to kobe where i will work for free! i'll be leaving from alexandria. what can you offer?,BookFlight,Alexandria,Kobe,,,
athens to busan. aug 30,BookFlight,Athens,Busan,Aug 30,,
"hi there! i'm about to jet out to my first ever internship
i need to make sure i get this booking exactly right
can you get me to rome?",BookFlight,,Rome,,,
you do flights yea?,BookFlight,,,,,
hello. i have some business trips coming up,BookFlight,,,,,
withdraw reservation,Cancel,,,,,
"hi. i’m working with a tight budget
turns out there’s not much pay for struggling, mildly alcoholic writers
i know, right?
anyway
looking for a bit of a break
have 2500 to spend on a trip for my wife, me, and our son
can you get us from brasilia to essen?",BookFlight,Brasilia,Essen,,,2500
hi there!,BookFlight,,,,,
"hi there, i want to take my two grandchildren for a little holiday. we are living in phili and they finish their camp on september 11 so we can leave anytime afterwards.
we have to be back by september 22 so they can go to school on the 23.",BookFlight,Phili,,September 11,September 22,
hi,BookFlight,,,,,
i'd like to go to melbourne from manaus,BookFlight,Manaus,Melbourne,,,
"hi, i need some help comparing a few different trips. can you help me with that?",BookFlight,,,,,
"hey, i'm looking for a trip to chicago.",BookFlight,,Chicago,,,
"hi there, i’m off between august 25 and september 11. i saved up 4000 for a nice trip. if i flew out from san francisco, what are your suggestions for where i can go?",BookFlight,San Francisco,,August 25,September 11,4000
hi i want to go to osaka,BookFlight,,osaka,,,
"perhaps i should explain it another time... but first, lets book a vacation to tijuana!",BookFlight,,Tijuana,,,
"family vacation alert. ha-ha, dad of the year here!
bringing my 6 little offspring to see their mother in london
we would like to leave from our hometown of brasilia
dates are flexible, as is budget (7 people is gonna get pricey i would assume) how can ya help me out?",BookFlight,Brasilia,London,,,
"hey bot. i got all the money there is in the world
find me the best okay?",BookFlight,,,,,
good morning! can you help me out with booking my next vacation?,BookFlight,,,,,
"hey. i need to get to san juan
family reunion!
we are leaving from leon",BookFlight,LEON,SAN JUAN,,,
one ticket from atlanta to tofino please,BookFlight,Atlanta,Tofino,,,
"hi there, i need to go to miami!",BookFlight,,Miami,,,
i want to go to curitiba.,BookFlight,,Curitiba,,,
hi i've got investors to meet with in nagoya sometime in the near future. i can leave from anywhere,BookFlight,,Nagoya,,,
i want to go to santa cruz from indianapolis,BookFlight,Indianapolis,Santa Cruz,,,
"i am so done with my job right now. i wanna take a nice two week vacation and getting out of rome
what could you get me in curitiba?",BookFlight,Rome,Curitiba,,,
cleveland to fukuoka,BookFlight,Cleveland,Fukuoka,,,
"i'm getting married and my wife is making me take care of the honeymoon, i better get it right or i will be in a lot of hot water :weary:",BookFlight,,,,,
i want to throw my parents on a plane and get them out of my hair,BookFlight,,,,,
i need to get to burlington from ulsan for 5800,BookFlight,Ulsan,Burlington,,,5800
"hi. need to get to sapporo
leaving baltimore
sept 9-13
between those dates. not flexible.",BookFlight,Baltimore,Sapporo,Sept 9,13,
hi i want to plan my honeymoon to rome,BookFlight,,rome,,,
"hi i'm from buenos aires, and i want to book a trip",BookFlight,Buenos Aires,,,,
hi i got an internship in frankfurt and need to get there on august 27th,BookFlight,,Frankfurt,August 27th,,
this is what i need: tix for 3 adults from berlin to sendai. leaving sept 2 or sometime close after that. can i get this done for &lt;$2400?,BookFlight,BERLIN,SENDAI,Sept 2,,$2400
"hi there, can you help me out with a trip? i need to get to kingston.",BookFlight,,Kingston,,,
where could i go if i had almost no money? i need to physically leave from busan what if i came up with $400?,BookFlight,Busan,,,,$400
hi i need to go on vacation i live in washington where can i go,BookFlight,WASHINGTON,,,,
hey there! i am looking to go to fortaleza for spring break with 3 of the boys. what can you get me for 1600,BookFlight,,fortaleza,,,1600
can you get me to philadelphia please. leaving from goiania,BookFlight,Goiania,Philadelphia,,,
"good afternoon my name is carolina and i want to book a trip. can you please tell me what specials you have at the moment leaving on august 25  and going to guadalajara, i want to go visit my family.",BookFlight,,Guadalajara,August 25,,
heyaaa,BookFlight,,,,,
"i’m good, you?",BookFlight,,,,,
august 25-september 3,BookFlight,,,august 25,september 3,
hi there. i am writing to inquire if you do departures out of beijing?,BookFlight,Beijing,,,,
reserve us a hotel in Paris on september 20 2023,None,,,,,
i need to get to rome from leon,BookFlight,LEON,ROME,,,
i need to book a trip for me and madonna to birmingham from milan.,BookFlight,Milan,Birmingham,,,
hi! i’ve got a little duty to take care of - family vacation time :smile:,BookFlight,,,,,
i am leaving from marseille and want to bring my friends with me to hamburg for my birthday bash,BookFlight,Marseille,Hamburg,,,
"got an internship with the un, but they're such cheapskates they can't pay for my flights! i only have 3300
but i can choose from a number of their offices
oh yeah and the dates i need are between august 28 and september 11",BookFlight,,,August 28,September 11,3300
seven grownups and 4 tots. we're heading from cairo down to our ancestral hometown of belem. flexible with dates,BookFlight,Cairo,Belem,,,
"hi, i need be at athens for a few days between aug 27 and sep 12. do you know how much it will be?",BookFlight,,Athens,Aug 27,Sep 12,
i’m trying to get from milan to a bunch of different possible internship spots. it needs to be both between aug 31 and sept 3,BookFlight,Milan,,Aug 31,Sept 3,
i need to get to fortaleza from paris. we will be 2 adults and 7 children,BookFlight,Paris,Fortaleza,,,
hello there! looking to get away between august 27th and august 30th! can you help me?,BookFlight,,,August 27th,August 30th,
i want to get to paris from cordoba,BookFlight,Cordoba,Paris,,,
"salut! i am ze number one pastry chef in ze world! there is this fantastic beautiful intoxication pastry made by an ami of mine in melbourne. im in guadalajara and i need, need, need to have a taste can you get me there, my good friend?",BookFlight,Guadalajara,Melbourne,,,
"i need to book a business trip - something impressive... thinking… las vegas
3 adults find me the best you can out of mannheim after september 11th",BookFlight,mannheim,las vegas,september 11th,,
hi!,BookFlight,,,,,
"i'm trying to debate taking the amtrak, bus, or flying from birmingham to denver",BookFlight,Birmingham,Denver,,,
